Id,Label,female,body,sexual,face,skin,objectifies,python_pagerank,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,chanelofficial,hm,jacquemus,sheinofficial,Degree,Weighted Degree,stat_inf_class,clustering,triangles
splash,splash,0.036578,0.034645,0,1,0.170504,0.461538,0.150248,0,0.000334,3,0.511212,0.52239,8.73865,0,0,0.615385,0.384615,68,0.002244,52,0.795115,1758
sport,sport,0.031488,0.055258,0,0.791667,0.149006,0.416667,0.150123,7,0.000824,2,0.535609,0.566484,415.93763,0.25,0.708333,0,0.041667,196,0.001043,158,0.430611,8145
sporty,sporty,0.027603,0.064876,0.006468,1,0.303761,0,0.150037,9,0.000413,2,0.515366,0.529815,22.670915,0,1,0,0,89,0.00032,121,0.736416,2819
spotlight,spotlight,0.024104,0.013966,0,0.666667,0.224757,0,0.150009,5,0.000499,3,0.518848,0.536783,141.736023,0.666667,0.333333,0,0,110,0.000071,171,0.512742,3018
spring,spring,0.017691,0.035268,0.000993,0.956522,0.216336,0.130435,0.150074,9,0.00113,2,0.55391,0.597327,734.512845,0.521739,0.478261,0,0,286,0.000604,60,0.402965,16308
square,square,0.025954,0.059331,0,1,0.275357,0.25,0.150025,9,0.000347,3,0.511392,0.522961,19.793639,0.25,0.75,0,0,70,0.00021,54,0.672634,1578
ss,ss,0.034341,0.056795,0.00415,1,0.380189,0.333333,0.150014,9,0.000393,2,0.514457,0.528101,22.003682,0,0.666667,0.333333,0,84,0.000115,113,0.705554,2401
ssense,ssense,0.045131,0.084319,0,1,0.118092,1,0.150066,3,0.000183,3,0.502757,0.506854,0.063331,0,0,1,0,24,0.000623,153,0.916996,232
st,st,0.062598,0.061498,0,1,0.212036,0.333333,0.15004,6,0.000172,3,0.502065,0.50594,0.222221,0,0,1,0,22,0.000371,203,0.87619,184
stack,stack,0.030555,0.07151,0,0.666667,0.49482,0.666667,0.150013,2,0.000236,3,0.505019,0.511995,0.0119,1,0,0,0,40,0.000108,35,0.977058,724
standard,standard,0.037679,0.144296,0,1,0.383442,0,0.15002,2,0.000179,3,0.499145,0.503998,0.045949,0,1,0,0,22,0.00017,128,0.92381,194
standing,standing,0.034641,0.025583,0,0.904762,0.206296,0.428571,0.15015,4,0.000992,2,0.544606,0.581905,618.314174,0.095238,0.47619,0.428571,0,241,0.001333,266,0.388424,11140
star,star,0.04131,0.036069,0,1,0.202493,0.1,0.150071,6,0.000561,3,0.521817,0.542038,124.574558,0,0.4,0.4,0.2,125,0.00064,278,0.581301,4433
start,start,0.027069,0.024408,0.002792,1,0.300396,0.5,0.150037,0,0.000315,3,0.509783,0.520334,12.756635,0.25,0,0,0.75,63,0.000323,153,0.698572,1321
statement,statement,0.026939,0.063895,0,0.705882,0.118974,0.235294,0.150086,9,0.000643,2,0.527477,0.55209,91.003532,0,1,0,0,154,0.000759,26,0.624527,7262
statue,statue,0.032057,0.044708,0,0.875,0.140297,0.5,0.150051,7,0.000637,2,0.525198,0.547978,239.494563,0.125,0.5,0.375,0,142,0.000431,260,0.457953,4520
stay,stay,0.015674,0.057002,0,1,0.08436,0,0.150015,9,0.000342,3,0.511392,0.522732,10.312519,0,1,0,0,69,0.000127,221,0.806409,1837
staying,staying,0.019861,0.064648,0,0.571429,0.155108,0.285714,0.15003,9,0.000289,3,0.508894,0.517706,0.285193,0,1,0,0,54,0.000249,283,0.955733,1317
step,step,0.015572,0.016537,0.001847,1,0.27976,0.235294,0.150068,6,0.001083,2,0.554964,0.59904,484.8503,0,0.117647,0.647059,0.235294,291,0.000559,198,0.555471,23277
still,still,0.038998,0.063072,0,0.333333,0.261825,0.666667,0.150029,9,0.000179,3,0.501547,0.506054,0,0,1,0,0,24,0.000253,119,0.952569,241
stockdale,stockdale,0.009092,0.005622,0,1,0.233323,0,0.150008,5,0.000411,3,0.514276,0.529358,14.409694,1,0,0,0,90,0.000062,182,0.786261,3079
stockholm,stockholm,0.016557,0.058484,0,1,0.442517,0,0.150028,3,0.000244,3,0.505544,0.512337,7.179432,0,1,0,0,40,0.000245,153,0.711201,527
stone,stone,0.028191,0.036227,0,1,0.266501,0,0.15003,0,0.000669,2,0.527667,0.552433,224.156707,0.285714,0,0.571429,0.142857,155,0.00025,75,0.526441,6202
stop,stop,0.019265,0.060858,0,0.916667,0.348467,0.333333,0.150043,5,0.000485,2,0.519217,0.537012,31.504424,0.75,0.25,0,0,110,0.000358,168,0.747027,4397
storage,storage,0.025561,0.03764,0,1,0.306211,0.285714,0.150022,9,0.000423,2,0.51573,0.5305,20.316095,0,1,0,0,91,0.000177,100,0.745568,2986
